,P9VF,P10VF,P11VF,B1VFA,L338C,RL38Ji,RL2-RES
VF39,1,1,1,1,1,1,0
248_C,0,0,0.5,1,0.5,0,1
262,0,1,1,1,1,0.5,1
461,0,1,1,1,1,1,1
758,1,1,1,1,1,1,1
762,0,0.5,1,1,1,1,0.5
773,0,0,0,0,0,0.5,0
859,0.5,1,1,1,1,1,1
901,1,1,1,1,1,1,1
498,0.5,1,1,1,1,1,1
651,0.5,1,1,1,1,0.5,1
699,0,1,1,1,1,1,1
108,1,1,1,1,1,0,1
248,0,1,0,1,0.5,0,1
16,0.5,1,1,1,1,1,1
40,0,1,1,0.5,1,1,0.5
50,0,1,1,1,1,1,1
61,0,1,1,1,1,1,1
74,0,1,1,1,1,1,1
97,1,1,1,1,1,1,1
100,0,0,1,1,1,0.5,1
110,0,1,1,1,1,1,1
113,0.5,1,1,0.5,0.5,1,1
116,0.5,1,1,1,1,1,1
156,0,1,1,1,1,0.5,0.5
160,0,1,1,1,1,1,1
209,1,1,1,1,1,1,0
231,0.5,1,1,1,1,1,0
318,0,0.5,1,1,1,0.5,0.5
328,1,1,1,0.5,0.5,1,1
344,1,1,1,1,1,1,1
460,0.5,1,1,0.5,1,1,1
462,0,0.5,1,1,0.5,0.5,1
475,1,1,1,1,1,1,1
478,0.5,1,1,1,1,1,1
499,0.5,1,1,1,1,1,1
511,0,0.5,1,1,1,1,0.5
559,0,1,1,1,1,1,1
596,0,1,1,1,1,1,1
627,0,1,1,1,1,1,1
717,1,1,1,1,1,1,1
706,0,0,1,1,1,0.5,1
VF37,1,1,1,1,1,1,0
