,strain,trt_plot,partner_qual,symPlasmid,genome_id,Shoot.Mass,Leaf.Number,Stolon.Number,Chlor.Content,Fitness_factor,scaled,qual_scale
1,498,N,Low ,Y,Rlt64,0.099241401,7.367658877,0.976119755,18.8746,13.47110606,-1.369320968,Low
2,699,N,Low ,Y,Rlt28,0.127811341,6.544990841,1.087715908,20.837,18.95959721,-1.360083143,Low
3,262,N,Low ,Y,Rlt58,0.1400018,8.975512179,1.455864671,33.3507,61.01250005,-1.289302787,Low
4,40,N,Low ,N,Rlt11,0.225440277,10.46252683,1.426465919,28.9805,97.50690423,-1.227878087,Low
5,438,C,Low ,Y,Rlt36,0.370797199,7.231887015,0.951143818,41.425,105.6566372,-1.214161056,Low
6,3,C,Low ,N,Rlt62,0.201412547,11.14621524,1.783183054,38.0026,152.1329145,-1.1359356,Low
7,643,N,Low ,N,Rlt45,0.26545764,11.60574228,1.38610825,35.9468,153.5060636,-1.133624417,Low
8,773,N,Low ,N,Rlt10,0.224652616,12.1302217,1.791046346,34.8546,170.1167768,-1.105666485,Low
9,381,N,Low ,Y,Rlt26,0.255891948,10.97697613,1.729444053,36.2386,176.0423952,-1.095692919,Low
10,478,N,Low ,Y,Rlt48,0.311330572,11.07953818,1.577277091,32.3743,176.1374929,-1.095532858,Low
11,796,N,Low ,Y,Rlt25,0.269254029,13.0462404,1.758568279,30.6003,189.0307715,-1.073831839,Low
12,577,N,Low ,Y,Rlt30,0.328637487,13.0305943,1.694690283,35.409,256.9717166,-0.959478632,Low
13,651,N,Low ,Y,Rlt21,0.313235492,13.54070048,1.782648179,37.3072,282.078764,-0.917220295,Low
14,493,C,Low ,Y,Rlt57,0.272041677,14.02021196,1.748398105,45.4742,303.2462349,-0.881592763,Low
15,559,C,Low ,Y,Rlt59,0.281929004,14.94086386,1.917457328,37.6049,303.7285462,-0.880780972,Low
16,729,C,Low ,Y,Rlt20,0.36254742,12.83146041,1.800204015,36.3557,304.463436,-0.879544059,Low
17,511,N,Low ,Y,Rlt42,0.372954071,13.3057996,1.632642716,39.1686,317.3405238,-0.857870291,Low
18,145,C,Low ,Y,Rlt8,0.35955073,14.56468845,1.845038233,40.5132,391.4382779,-0.733154396,Low
19,901,C,Low ,Y,Rlt50,0.35519086,15.08197014,1.777663746,41.8392,398.430747,-0.721385186,Low
20,475,N,Low ,Y,Rlt43,0.361100127,16.60659657,2.014155498,36.065,435.5993361,-0.658825748,Low
21,97,N,Low ,Y,Rlt1,0.441357533,15.93949513,1.8363869,38.6899,499.83527,-0.550708544,Low
22,415,C,Low ,Y,Rlt40,0.41057363,16.77014127,1.855956135,40.9613,523.4427785,-0.51097412,Low
23,837,C,Low ,Y,Rlt33,0.401559324,15.53506924,2.322629618,38.9523,564.3856643,-0.442062063,Intermediate
24,50,C,Low ,Y,Rlt35,0.420294342,16.10774158,2.039694415,41.8126,577.3783268,-0.420193768,Intermediate
25,859,N,Low ,Y,Rlt39,0.411148835,17.37443721,2.155451038,38.3975,591.2224558,-0.396892347,Intermediate
26,538,N,High ,N,Rlt49,0.395580885,17.23082619,1.838959642,48.2657,604.995587,-0.373710425,Intermediate
27,116,N,Low ,Y,Rlt7,0.425028098,16.05949077,2.099501635,43.3083,620.6357173,-0.347386107,Intermediate
28,717,N,Low ,Y,Rlt15,0.450994561,16.71321962,1.886644775,44.239,629.1103975,-0.333122148,Intermediate
29,325,C,High ,Y,Rlt37,0.383237645,18.71265438,1.97407513,46.916,664.183701,-0.27408934,Intermediate
30,449,C,Low ,Y,Rlt46,0.740151784,12.13386131,1.669960544,44.675,670.0243534,-0.264258783,Intermediate
31,344,C,Low ,Y,Rlt13,0.49346665,16.89132202,1.918991908,43.5131,696.0086174,-0.220523979,Intermediate
32,113,C,Low ,Y,Rlt5,0.44780384,18.157796,2.016977291,42.8615,702.9417209,-0.208854689,Intermediate
33,61,N,High ,Y,Rlt22,0.463013068,17.8838845,1.937696701,45.8077,734.9865493,-0.154919188,Intermediate
34,527,N,Low ,Y,Rlt51,0.480417385,18.36047029,1.910949043,43.7439,737.3422546,-0.150954238,Intermediate
35,762,N,Low ,Y,Rlt52,0.500023591,17.11576554,2.288736686,38.7721,759.4548826,-0.113735888,Intermediate
36,173,C,High ,Y,Rlt2,0.48239114,17.77334743,2.259401601,42.9035,831.1027282,0.006856502,Intermediate
37,180,C,High ,Y,Rlt16,0.514427833,19.04872176,2.428320825,36.6382,871.8273509,0.075401194,Intermediate
38,636,C,High ,Y,Rlt47,0.541669089,16.57507399,2.237143883,44.8603,901.0432113,0.124575184,Intermediate
39,228,C,High ,Y,Rlt3,0.525292515,19.18828622,2.35160953,41.5443,984.7229454,0.265418764,Intermediate
40,460,C,High ,Y,Rlt32,0.514016455,16.70152446,2.711765774,43.9226,1022.523626,0.329042092,Intermediate
41,861,C,High ,Y,Rlt38,0.541235928,18.69582057,2.237143883,45.7322,1035.254579,0.350469897,Intermediate
42,100,C,High ,Y,Rlt23,0.58397331,21.96609218,2.06597031,40.1179,1063.183108,0.397477144,Intermediate
43,74,C,High ,Y,Rlt24,0.52924702,21.64122369,2.134003942,46.7773,1143.327378,0.532370092,High
44,758,C,High ,Y,Rlt12,0.559115057,19.20556345,2.409212667,44.9137,1161.936014,0.563690779,High
45,308,C,High ,Y,Rlt18,0.573957458,19.63276786,2.41427733,43.1624,1174.232176,0.584386776,High
46,596,N,High ,Y,Rlt41,0.49391097,21.45805287,2.687738141,41.2566,1175.220536,0.586050312,High
47,160,C,High ,N,Rlt14,0.569839806,20.6765457,2.270272799,45.3215,1212.308332,0.648473765,High
48,318,C,High ,Y,Rlt34,0.542102598,21.25304119,2.252183072,46.7264,1212.463253,0.648734515,High
49,328,N,High ,Y,Rlt31,0.544983369,20.31175942,2.608303474,43.9787,1269.78824,0.745219722,High
50,16,N,High ,Y,Rlt19,0.507276023,20.64348968,2.959439819,43.471,1347.214019,0.875537105,High
51,110,C,High ,Y,Rlt44,0.548537299,21.56776847,2.598930463,44.9928,1383.404096,0.936449583,High
52,462,C,High ,Y,Rlt27,0.645067704,19.63473124,2.468226805,45.7934,1431.588543,1.017550104,High
53,726,C,High ,Y,Rlt9,0.605439887,23.18719067,2.403918225,42.7411,1442.396128,1.035740636,High
54,499,C,High ,Y,Rlt63,0.594163943,21.06894173,2.522372684,48.3781,1527.590952,1.179134305,High
55,706,C,High ,Y,Rlt4,0.555048379,21.83469023,2.799385699,45.7703,1552.831643,1.22161758,High
56,56,N,High ,Y,Rlt6,0.640247794,24.60131754,2.330306957,45.0892,1654.977596,1.393542144,High
57,627,C,High ,Y,Rlt60,0.660802681,22.72350838,2.487554253,46.3478,1731.206471,1.521844985,High
58,156,N,High ,Y,Rlt61,0.659878204,22.97025229,2.633463763,45.7305,1825.420172,1.680418565,High
59,209,N,High ,Y,Rlt55,0.688665233,23.35941232,2.646928735,43.3083,1844.095704,1.711851847,High
60,231,N,High ,Y,Rlt56,0.654685704,21.77799377,3.024663967,43.9137,1893.772868,1.795464799,High
61,108,C,High ,Y,Rlt29,0.642878198,23.27081499,2.849091011,45.1303,1923.600291,1.845668127,High
62,461,C,High ,Y,Rlt54,0.718492509,27.62717805,2.962400739,47.2073,2775.950646,3.280281616,High
